player,height,weight,W,L,W-L%,Dec,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+▼,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary,Awards
Bartolo Colon,71,285,15,11,0.568,4.12,34,34,0,2,1,0,211,219,105,96,27,58,3,154,4,0,3,892,106,4.15,1.312,9.3,1.1,2.5,6.6,2.67,211,34,34,105,4.47,4.7,0.01,0.18,99.6,4.86,9,1,0.54,-0.1,2.9,31,0.529,0.506,,
Reyes Moronta,70,265,4,4,0.471,2.76,68,0,9,0,0,0,67,43,22,21,6,35,3,81,2,0,5,278,147,3.57,1.17,5.8,0.8,4.7,10.8,2.3,67,68,0,22,2.94,4.68,0.08,-0.32,0,95.8,4.09,9,1,1.31,0,1.6,15,0.514,0.505,
Jose Mijares,71,265,1,2,0.353,3.23,68,0,13,0,0,0,54,54,22,20,4,22,2,48,3,0,2,238,125,3.7,1.39,8.9,0.7,3.6,8,2.22,54,68,0,22,3.65,4.68,-0.13,-0.35,97.3,4.35,4,0.4,1.14,-0.1,0.9,10,0.506,0.502,,
Tom Healey,55,155,15,18,0.462,2.39,35,33,3,30,0,3,285,315,169,76,5,50,,50,,0,20,1209,88,2.94,1.283,10,0.2,1.6,1.6,1,285,35,33,169,5.34,5.24,0.07,0,90.5,4.67,-23,-2,1,-0.5,0,8,0.443,0.498,,
Jean Machi,71,257,5,1,0.867,3.38,68,0,15,0,0,2,67,57,27,25,6,20,2,53,1,0,4,272,109,3.67,1.153,7.7,0.8,2.7,7.1,2.67,67,68,0,27,3.57,4.17,0.07,-0.31,97.2,3.69,1,0.1,1.1,0,0.7,6,0.502,0.502,,
Fernando Rodney,71,240,3,5,0.403,3.8,68,0,42,0,0,23,67,58,31,28,5,33,3,67,4,0,5,291,110,3.77,1.373,7.9,0.7,4.5,9.1,2.03,67,68,0,31,4.18,4.64,0.06,-0.34,97.7,4.14,-1,0,1.52,-0.1,0.5,7,0.5,0.5,,
Angel Castro,71,240,0,14,0,2.25,68,0,41,0,0,0,54,109,14,14,14,41,0,54,0,0,0,299,190,6.63,2.75,18,2.3,6.8,9,1.33,54,68,0,14,2.25,4.27,-0.12,-0.32,93.7,3.82,14,1.4,0.55,0,1.4,14,0.514,0.5,,
Edwar Colina,71,240,0,0,,81,68,0,0,0,0,0,20,272,204,204,68,136,0,0,0,0,0,476,11,60.19,18,108,27,54,0,0,20,68,0,204,81,4.37,1.84,-0.27,0,94,2.13,-204,-13.6,0.31,6.8,-13.6,-204,0.273,0.499,
Framber Valdez,71,239,15,9,0.615,3.48,39,29,3,1,0,0,196,163,84,76,17,85,0,187,14,2,12,828,122,3.87,1.268,7.5,0.8,3.9,8.6,2.2,196,39,29,84,3.87,4.66,0.45,0.17,0.01,99.3,4.36,9,1.1,0.56,-0.1,2.9,30,0.529,0.502,
Andrew Carignan,71,235,4,4,0.5,4.5,68,0,32,0,0,0,64,64,36,32,4,48,0,52,0,0,8,300,92,4.5,1.75,9,0.6,6.8,7.3,1.08,64,68,0,36,5.06,4.48,-0.06,-0.34,96.5,4.07,-8,-0.8,0.43,0,0,0,0.489,0.499,,
Keegan Akin,71,235,4,12,0.235,5.09,47,21,5,0,0,1,152,149,89,86,24,56,1,140,3,2,5,654,86,4.55,1.356,8.9,1.4,3.3,8.3,2.48,152,47,21,89,5.3,4.99,0,0.03,0,104.6,5.26,-2,-0.1,0.79,-0.2,1.2,13,0.498,0.499,
Julio Mateo,71,235,6,4,0.6,3.68,68,0,17,0,0,1,98,92,42,40,14,26,6,67,6,0,2,413,118,4.53,1.203,8.4,1.3,2.4,6.1,2.54,98,68,0,42,3.85,4.99,0.12,-0.36,95.8,4.33,5,0.5,1.07,-0.3,1.3,16,0.507,0.502,,
Enrique Gonzalez,70,225,4,7,0.333,5.81,51,17,23,0,0,0,140,149,95,90,19,59,2,78,4,0,2,612,80,5.08,1.483,9.6,1.2,3.8,5,1.33,140,51,17,95,6.11,4.79,0.04,0.01,103.1,4.92,-18,-1.7,0.38,0.1,-0.3,-6,0.467,0.497,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
