,win-count
1,1
2,2
3,3
4,3
5,4
6,5
7,6
8,6
9,6
10,7
11,7
12,7
13,7
14,8
15,9
16,9
17,9
18,10
19,10
20,10
21,11
22,12
23,12
24,12
25,13
26,14
27,15
28,15
29,16
30,16
31,17
32,18
33,18
34,18
35,18
36,19
37,19
38,20
39,20
40,21
41,22
42,22
43,22
44,22
45,22
46,22
47,23
48,23
49,23
50,24
51,24
52,25
53,25
54,26
55,26
56,27
57,27
58,27
59,28
60,28
61,29
62,29
63,29
64,29
65,29
66,29
67,30
68,30
69,31
70,31
71,31
72,32
73,32
74,32
75,33
76,33
77,34
78,34
79,35
80,36
81,36
82,37
83,37
84,38
85,38
86,39
87,39
88,39
89,39
90,40
91,40
92,41
93,42
94,43
95,43
96,44
97,45
98,45
99,45
100,46
101,46
102,47
103,47
104,48
105,48
106,48
107,49
108,49
109,49
110,49
111,50
112,51
113,51
114,52
115,52
116,53
117,54
118,54
119,55
120,55
121,56
122,56
123,56
124,57
125,58
126,59
127,59
128,60
129,61
130,62
131,63
132,63
133,64
134,64
135,65
136,66
137,67
138,67
139,68
140,68
141,69
142,70
143,70
144,70
145,71
