1B,2B,3B,HR,OUT,WALK,sum
0.31147541,0.045537341,0,0.04007286,0.495446266,0.107468124,0.68852459
0.254545455,0.048484848,0.002020202,0.012121212,0.624242424,0.058585859,0.745454545
0.261382799,0.05227656,0.003372681,0.030354132,0.571669477,0.080944351,0.738617201
0.240808824,0.055147059,0.003676471,0.029411765,0.568014706,0.102941176,0.759191176
0.208333333,0.055555556,0,0.029761905,0.660714286,0.045634921,0.791666667
0.289827255,0.046065259,0.003838772,0.011516315,0.587332054,0.061420345,0.710172745
0.272197962,0.050946143,0.002911208,0.033478894,0.573508006,0.066957787,0.727802038
0.279863481,0.042662116,0.003412969,0.013651877,0.566552901,0.093856655,0.720136519
0.23880597,0.052238806,0.001865672,0.031716418,0.600746269,0.074626866,0.76119403
0.233830846,0.039800995,0.00331675,0.036484245,0.631840796,0.054726368,0.766169154
0.264505119,0.051194539,0.003412969,0.020477816,0.612627986,0.04778157,0.735494881
0.254473161,0.03777336,0.001988072,0.027833002,0.65805169,0.019880716,0.745526839
0.302857143,0.062857143,0.015238095,0.00952381,0.552380952,0.057142857,0.697142857
