,tigers
1,-2.0
2,-9.0
3,-12.0
4,-15.0
5,-22.0
6,-30.0
7,-33.0
8,-35.0
9,-40.0
10,-39.0
11,-40.0
12,-42.0
13,-44.0
14,-50.0
15,-51.0
16,-58.0
17,-59.0
18,-60.0
19,-57.0
20,-59.0
21,-65.0
22,-63.0
23,-64.0
24,-72.0
25,-75.0
26,-77.0
27,-79.0
28,-81.0
29,-77.0
30,-72.0
31,-71.0
32,-66.0
33,-68.0
34,-70.0
35,-63.0
36,-65.0
37,-64.0
38,-73.0
39,-76.0
40,-79.0
41,-83.0
42,-84.0
43,-86.0
44,-90.0
45,-89.0
46,-88.0
47,-87.0
48,-90.0
49,-89.0
50,-92.0
51,-98.0
52,-104.0
53,-102.0
54,-103.0
55,-102.0
56,-100.0
57,-104.0
58,-106.0
59,-108.0
60,-109.0
61,-111.0
62,-113.0
63,-114.0
64,-119.0
65,-117.0
66,-118.0
67,-121.0
68,-124.0
69,-131.0
70,-129.0
71,-132.0
72,-134.0
73,-136.0
74,-145.0
75,-154.0
76,-156.0
77,-161.0
78,-168.0
79,-170.0
80,-166.0
81,-161.0
82,-167.0
83,-168.0
84,-169.0
85,-165.0
86,-167.0
87,-166.0
88,-164.0
89,-163.0
90,-165.0
91,-167.0
92,-164.0
93,-163.0
94,-165.0
95,-169.0
96,-178.0
97,-187.0
98,-190.0
99,-193.0
100,-190.0
101,-195.0
102,-191.0
103,-195.0
104,-201.0
105,-211.0
106,-215.0
107,-221.0
108,-214.0
109,-219.0
110,-224.0
111,-230.0
112,-229.0
113,-230.0
114,-234.0
115,-235.0
116,-241.0
117,-238.0
118,-242.0
119,-245.0
120,-247.0
121,-251.0
122,-256.0
123,-258.0
124,-259.0
125,-265.0
126,-268.0
127,-269.0
128,-275.0
129,-274.0
130,-273.0
131,-275.0
132,-280.0
133,-276.0
134,-279.0
135,-284.0
136,-287.0
137,-285.0
138,-284.0
139,-283.0
140,-285.0
141,-286.0
142,-294.0
143,-296.0
144,-306.0
145,-309.0
146,-306.0
147,-313.0
148,-318.0
149,-324.0
150,-327.0
151,-333.0
152,-337.0
153,-341.0
154,-345.0
155,-347.0
156,-353.0
157,-344.0
158,-343.0
159,-342.0
160,-343.0
161,-342.0
162,-337.0
