,win-count
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,2
20,2
21,2
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,4
30,5
31,6
32,7
33,7
34,7
35,8
36,8
37,8
38,8
39,8
40,8
41,8
42,8
43,8
44,8
45,9
46,10
47,11
48,11
49,12
50,12
51,12
52,12
53,13
54,13
55,14
56,15
57,15
58,15
59,15
60,15
61,15
62,15
63,15
64,15
65,16
66,16
67,16
68,16
69,16
70,17
71,17
72,17
73,17
74,17
75,17
76,17
77,17
78,17
79,17
80,18
81,19
82,19
83,19
84,19
85,20
86,20
87,21
88,22
89,23
90,23
91,23
92,24
93,25
94,25
95,25
96,25
97,25
98,25
99,25
100,26
101,26
102,27
103,27
104,27
105,27
106,27
107,27
108,28
109,28
110,28
111,28
112,29
113,29
114,29
115,29
116,29
117,30
118,30
119,30
120,30
121,30
122,30
123,30
124,30
125,30
126,30
127,30
128,30
129,30
130,31
131,31
132,31
133,32
134,32
135,32
136,32
137,33
138,33
139,34
140,34
141,34
142,34
143,34
144,34
145,34
146,35
147,35
148,35
149,35
150,35
151,35
152,35
153,35
154,35
155,35
156,35
157,36
158,37
159,37
160,37
161,37
162,38
