Last Name,First Name,POS,weight,height,BMI
Colon,Bartolo,P,285,71,39.74899162
Fielder,Prince,1B,275,71,38.35429016
Sandoval,Pablo,1B,268,70,38.45357013
Moronta,Reyes,P,265,70,38.02311972
Mijares,Jose,P,265,71,36.9595887
Machi,Jean,P,257,71,35.84382753
Orr,Dave,1B,250,71,34.86753651
Naylor,Josh,OF,250,71,34.86753651
Chavez,Raul,C,245,71,34.17018578
Mercedes,Yermin,1B,245,71,34.17018578
Kirk,Alejandro,C,245,68,37.25170988
Viciedo,Dayán,OF,240,71,33.47283505
Pena,Brayan,C,240,69,35.44141178
Rodney,Fernando,P,240,71,33.47283505
Castro,Angel,P,240,71,33.47283505
Grullon,Deivy,C,240,71,33.47283505
Bellorin,Edwin,C,240,70,34.43603295
Colina,Edwar,P,240,71,33.47283505
Valdez,Framber,P,239,71,33.3333649
White,Tyler,2B,238,71,33.19389476
Mateo,Julio,P,235,71,32.77548432
Leon,Sandy,C,235,70,33.7186156
Carignan,Andrew,P,235,71,32.77548432
Thames,Eric,1B,235,71,32.77548432
Akin,Keegan,P,235,71,32.77548432
Campusano,Luis,C,232,71,32.35707388
Ramirez,Harold,OF,232,70,33.28816519
Fothergill,Bob,OF,230,70,33.00119825
Redding,Tim,P,230,71,32.07813359
Rodriguez,Guillermo,C,230,71,32.07813359
Gimenez,Hector,C,230,70,33.00119825
Schmidt,Konrad,C,230,70,33.00119825
Rivera,Carlos,1B,230,71,32.07813359
Welch,Tub,1B,230,71,32.07813359
Cueto,Johnny,P,229,71,31.93866344
Brown,Jeremy,C,226,70,32.42726436
Pena,Angel,C,225,70,32.28378089
Phegley,Josh,2B,225,70,32.28378089
Gonzalez,Enrique,P,225,70,32.28378089
Astudillo,Willians,OF,225,69,33.22632354
Suarez,Jose,P,225,70,32.28378089
Sheffield,Justus,P,224,70,32.14029742
Almonte,Abraham,OF,223,70,31.99681395
Tromp,Chadwick,C,221,68,33.60256279
Telis,Tomas,C,220,68,33.450515
Tejada,Miguel,SS,220,69,32.4879608
Robinson,Wilbert,C,215,68,32.69027602
Gindl,Caleb,OF,210,68,31.93003704
Solano,Donovan,2B,210,68,31.93003704
Callaspo,Alberto,3B,210,68,31.93003704
Byers,Bill,1B,210,67,32.89028543
Healey,Tom,P,155,55,36.02502346
MLB,,,185,,25
