,playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,KG,meters,BMI,ratio,mlbID,fangraphsID,mlb_played_first,mlb_played_last,name_common_x,age,year_ID,team_ID,stint,lg_ID,PA,G,Inn,runs_bat,runs_br,runs_dp,runs_field,runs_infield,runs_outfield,runs_catcher,runs_good_plays,runs_defense,runs_position,runs_position_p,runs_replacement,runs_above_rep,runs_above_avg,runs_above_avg_off,runs_above_avg_def,WAA,WAA_off,WAA_def,WAR,WAR_def,WAR_off,WAR_rep,salary,pitcher,teamRpG,oppRpG,oppRpPA_rep,oppRpG_rep,pyth_exponent,pyth_exponent_rep,waa_win_perc,waa_win_perc_off,waa_win_perc_def,waa_win_perc_rep,OPS_plus,TOB_lg,TB_lg,name_common_y,GS_x,IPouts,IPouts_start,IPouts_relief,RA,xRA,xRA_sprp_adj,xRA_extras_adj,xRA_def_pitcher,PPF,PPF_custom,xRA_final,BIP,BIP_perc,RS_def_total,runs_above_avg_adj,RpO_replacement,GR_leverage_index_avg,WAA_adj,ERA_plus,ER_lg,Glf,Gcf,Grf,teamID,lgID,POS,GS_y,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR
0,diazju03,1984.0,2.0,27.0,D.R.,La Romana,La Romana,,,,,,,Jumbo,Diaz,Jose Rafael,315.0,76.0,R,R,2014-06-20,2017-07-16,diazj005,diazju03,142.88148,1.9304,38.34,74.0165147119768,471822.0,3397.0,2014.0,2017.0,Jumbo Diaz,32.0,2016.0,CIN,1.0,NL,1.0,45.0,43.0,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,-0.1,-0.1,-0.1,0.0,-0.01,-0.01,-0.02,-0.01,-0.02,-0.01,0.0,525000.0,Y,4.49699,4.5001,0.08241,4.49938,1.87,1.87,0.4997,0.4997,0.5,0.4999,-100.0,0.332,0.427,,,,,,,,,,,,,,,,,,,,,,,,,,CIN,NL,P,0.0,129.0,1.0,3.0,2.0,0.0,,,,,
1,brownju01,1907.0,4.0,30.0,USA,RI,Greene,1966.0,10.0,2.0,USA,NY,Freeport,Jumbo,Brown,Walter George,295.0,76.0,R,R,1925-08-26,1941-08-27,browj110,brownju01,133.80964,1.9304,35.91,69.31705346042271,111597.0,1001533.0,1925.0,1941.0,Jumbo Brown,21.0,1928.0,CLE,1.0,AL,3.0,5.0,,1.17,0.0,0.0,0.0,,,,,0.0,0.0,0.32,0.0,1.5,1.5,1.5,0.0,0.15,0.15,0.0,0.15,0.0,0.15,0.0,,Y,5.0819,4.7839,0.08249,4.7614,1.92,1.902,0.529,0.529,0.5,0.4978,411.6800669062,1.065,1.235,,,,,,,,,,,,,,,,,,,,,,,,,,CLE,AL,P,,,1.0,1.0,0.0,0.0,,,,,
2,rauchjo01,1978.0,9.0,27.0,USA,KY,Louisville,,,,,,,Jon,Rauch,Jon Erich,290.0,83.0,R,R,2002-04-02,2013-05-17,raucj001,rauchjo01,131.54167999999999,2.1082,29.6,62.39525661701926,400010.0,1475.0,2002.0,2013.0,Jon Rauch,34.0,2013.0,MIA,1.0,NL,1.0,15.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.1,0.1,0.1,0.0,0.02,0.02,-0.01,0.02,-0.01,0.02,0.0,1000000.0,Y,4.03667,4.02801,0.07154,4.02584,1.813,1.812,0.501,0.501,0.5,0.4998,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,MIA,NL,P,0.0,50.0,1.0,4.0,0.0,0.0,,,,,
3,broxtjo01,1984.0,6.0,16.0,USA,GA,Augusta,,,,,,,Jonathan,Broxton,Jonathan Roy,285.0,76.0,R,R,2005-07-29,2017-05-30,broxj001,broxtjo01,129.27372,1.9304,34.69,66.96732283464567,455009.0,4759.0,2005.0,2017.0,Jonathan Broxton,28.0,2012.0,CIN,2.0,NL,0.0,25.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,,Y,4.28947,4.28947,0.07895,4.28947,1.845,1.845,0.5,0.5,0.5,0.5,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,CIN,NL,P,0.0,67.0,1.0,4.0,0.0,0.0,,,,,
4,colonba01,1973.0,5.0,24.0,D.R.,Puerto Plata,Altamira,,,,,,,Bartolo,Colon,Bartolo,285.0,71.0,R,R,1997-04-04,2018-09-22,colob001,colonba01,129.27372,1.8034,39.75,71.68333148497284,112526.0,375.0,1997.0,2018.0,Bartolo Colon,29.0,2002.0,MON,2.0,NL,43.0,17.0,117.0,-7.75,-0.2,0.0,0.0,0.0,0.0,0.0,,0.0,0.08,5.86,0.0,-2.0,-2.0,-2.0,0.1,-0.22,-0.22,0.0,-0.22,0.0,-0.22,0.0,,Y,4.36277,4.481,0.08222,4.40216,1.861,1.864,0.4876,0.4876,0.5005,0.4917,-27.5161119077,14.096,16.712,,,,,,,,,,,,,,,,,,,,,,,,,,MON,NL,P,17.0,351.0,6.0,15.0,1.0,1.0,,,,,
5,paronch01,1975.0,7.0,28.0,USA,NH,Woodsville,,,,,,,Chad,Paronto,Chad Michael,285.0,77.0,R,R,2001-04-18,2009-09-29,paroc001,paronch01,129.27372,1.9558,33.8,66.09761734328663,406301.0,399.0,2001.0,2009.0,Chad Paronto,33.0,2009.0,HOU,1.0,NL,0.0,6.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Y,4.50898,4.50898,0.08274,4.50898,1.872,1.872,0.5,0.5,0.5,0.5,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,HOU,NL,P,0.0,20.0,0.0,0.0,0.0,0.0,,,,,
6,mccluse01,1981.0,2.0,7.0,USA,WV,Lewisburg,,,,,,,Seth,McClung,Michael Seth,280.0,78.0,L,R,2003-03-31,2009-10-04,mccls002,mccluse01,127.00576,1.9811999999999999,32.36,64.10547143145568,425528.0,1657.0,2003.0,2009.0,Seth McClung,26.0,2007.0,MIL,1.0,NL,0.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,-0.01,0.0,0.0,,Y,4.77852,4.77852,0.08882,4.77852,1.903,1.903,0.5,0.5,0.5,0.5,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,MIL,NL,P,0.0,36.0,1.0,0.0,0.0,0.0,,,,,
7,kuhnejo01,1995.0,2.0,19.0,USA,NC,Goldsboro,,,,,,,Joel,Kuhnel,Joel Kenneth,280.0,76.0,R,R,2019-08-16,2022-07-01,kuhnj001,kuhnejo01,127.00576,1.9304,34.08,65.79245752175714,669270.0,19995.0,2019.0,2022.0,Joel Kuhnel,24.0,2019.0,CIN,1.0,NL,1.0,11.0,9.7,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,-0.1,-0.1,-0.1,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,,Y,4.70742,4.72014,0.08805,4.71719,1.895,1.896,0.4987,0.4987,0.5,0.4997,-100.0,0.339,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,CIN,NL,P,0.0,29.0,0.0,0.0,0.0,0.0,,,,,
8,cedajo01,1987.0,1.0,28.0,D.R.,Distrito Nacional,Santo Domingo,,,,,,,Jose,Ceda,Jose Marti,280.0,77.0,R,R,2010-09-06,2011-09-24,cedaj001,cedajo01,127.00576,1.9558,33.2,64.93801002147458,469167.0,2377.0,2010.0,2011.0,Jose Ceda,23.0,2010.0,FLA,1.0,NL,2.0,8.0,8.7,-0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,-0.3,-0.3,-0.3,0.0,-0.03,-0.03,0.0,-0.03,0.0,-0.03,0.0,,Y,4.3462,4.3812,0.08031,4.37341,1.854,1.856,0.4963,0.4963,0.5,0.4992,-100.0,0.672,0.836,,,,,,,,,,,,,,,,,,,,,,,,,,FLO,NL,P,0.0,26.0,0.0,0.0,0.0,0.0,,,,,
9,russead01,1983.0,4.0,14.0,USA,OH,North Olmsted,,,,,,,Adam,Russell,Adam William,280.0,80.0,R,R,2008-06-17,2011-07-17,russa001,russead01,127.00576,2.032,30.76,62.50283464566929,452240.0,7334.0,2008.0,2011.0,Adam Russell,26.0,2009.0,SDP,1.0,NL,1.0,15.0,12.3,-0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,-0.1,-0.1,-0.1,0.0,-0.01,-0.01,0.0,-0.01,0.0,-0.01,0.0,405000.0,Y,4.50031,4.50898,0.08274,4.5069,1.871,1.871,0.4991,0.4991,0.5,0.4998,-100.0,0.325,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,SDN,NL,P,0.0,37.0,0.0,2.0,0.0,0.0,,,,,
10,pintore01,1982.0,7.0,8.0,Venezuela,Miranda,Cupira,,,,,,,Renyel,Pinto,Renyel Eligio,280.0,76.0,L,L,2006-05-18,2010-06-16,pintr001,pintore01,127.00576,1.9304,34.08,65.79245752175714,430594.0,2180.0,2006.0,2010.0,Renyel Pinto,23.0,2006.0,FLA,1.0,NL,1.0,27.0,29.7,-0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,-0.1,-0.1,-0.1,0.0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.0,,Y,4.86156,4.86675,0.09085,4.86559,1.912,1.913,0.4995,0.4995,0.5,0.4999,-100.0,0.336,0.432,,,,,,,,,,,,,,,,,,,,,,,,,,FLO,NL,P,0.0,89.0,2.0,2.0,0.0,0.0,,,,,
11,zambrca01,1981.0,6.0,1.0,Venezuela,Carabobo,Puerto Cabello,,,,,,,Carlos,Zambrano,Carlos Alberto,275.0,76.0,B,R,2001-08-20,2012-09-21,zambc001,zambrca01,124.7378,1.9304,33.47,64.61759220886863,407296.0,305.0,2001.0,2012.0,Carlos Zambrano,24.0,2005.0,CHC,1.0,NL,84.0,33.0,223.3,-1.53,-0.41,-0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.14,11.25,0.08,9.3,9.2,9.2,0.1,0.91,0.92,0.0,0.92,0.0,0.93,0.01,3760000.0,Y,4.83276,4.55336,0.08379,4.47402,1.893,1.872,0.5282,0.5282,0.5004,0.4918,93.4813610476,27.528,34.808,,,,,,,,,,,,,,,,,,,,,,,,,,CHN,NL,P,33.0,670.0,21.0,34.0,2.0,4.0,,,,,
12,westse01,1986.0,6.0,15.0,USA,TX,Houston,,,,,,,Sean,West,Sean Edward,275.0,80.0,R,L,2009-05-23,2010-08-14,wests001,westse01,124.7378,2.032,30.21,61.38671259842519,476811.0,4393.0,2009.0,2010.0,Sean West,24.0,2010.0,FLA,1.0,NL,3.0,2.0,9.3,-0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.4,0.0,-0.4,-0.4,-0.4,0.0,-0.04,-0.04,0.0,-0.04,0.0,-0.04,0.0,,Y,4.1762,4.3812,0.08031,4.33445,1.844,1.853,0.4779,0.4779,0.5005,0.495,-100.0,1.008,1.255,,,,,,,,,,,,,,,,,,,,,,,,,,FLO,NL,P,2.0,28.0,0.0,1.0,1.0,1.0,,,,,
13,flowety01,1986.0,1.0,24.0,USA,GA,Roswell,,,,,,,Tyler,Flowers,Cole Tyler,260.0,76.0,R,R,2009-09-03,2020-09-27,flowt001,flowety01,117.93392,1.9304,31.65,61.092996270203066,452095.0,9134.0,2009.0,2020.0,Tyler Flowers,34.0,2020.0,ATL,1.0,NL,80.0,22.0,184.0,-2.32,0.0,-0.23,0.0,0.0,0.0,2.0,0.0,2.0,1.52,0.0,2.73,3.7,1.0,-1.0,3.5,0.11,-0.09,0.36,0.37,0.36,0.17,0.26,4000000.0,N,4.83284,4.87966,0.08989,4.75541,1.912,1.907,0.5044,0.4954,0.5157,0.4877,78.1148641004,26.624,29.829,,,,,,,,,,,,,,,,,,,,,,,,,,ATL,NL,C,22.0,552.0,181.0,5.0,1.0,0.0,1.0,,15.0,2.0,
14,maldoca03,1979.0,1.0,3.0,Venezuela,Zulia,Maracaibo,,,,,,,Carlos,Maldonado,Carlos Luis,260.0,74.0,R,R,2006-09-08,2012-05-29,maldc003,maldoca03,117.93392,1.8796,33.38,62.74415833155991,430961.0,2034.0,2006.0,2012.0,Carlos Maldonado,27.0,2006.0,PIT,1.0,NL,20.0,8.0,54.0,-4.27,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.62,-3.1,-3.7,-3.7,0.4,-0.38,-0.38,0.04,-0.32,0.04,-0.32,0.06,,N,4.40425,4.86675,0.09085,4.78882,1.886,1.908,0.4531,0.4531,0.5048,0.4923,-31.9001073575,6.806,8.326,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,NL,C,6.0,162.0,26.0,4.0,1.0,0.0,0.0,,6.0,1.0,
