,huskies
1,3.0
2,10.0
3,20.0
4,11.0
5,14.0
6,26.0
7,30.0
8,20.0
9,18.0
10,19.0
11,17.0
12,14.0
13,12.0
14,14.0
15,15.0
16,7.0
17,5.0
18,9.0
19,8.0
20,6.0
21,10.0
22,13.0
23,11.0
24,10.0
25,19.0
26,20.0
27,25.0
28,18.0
29,21.0
30,22.0
31,26.0
32,28.0
33,27.0
34,25.0
35,24.0
36,26.0
37,20.0
38,28.0
39,22.0
40,32.0
41,33.0
42,30.0
43,29.0
44,27.0
45,26.0
46,17.0
47,19.0
48,20.0
49,18.0
50,22.0
51,21.0
52,22.0
53,12.0
54,13.0
55,11.0
56,15.0
57,13.0
58,11.0
59,14.0
60,6.0
61,8.0
62,9.0
63,7.0
64,6.0
65,4.0
66,-3.0
67,-1.0
68,-5.0
69,1.0
70,-2.0
71,-6.0
72,-3.0
73,-9.0
74,-5.0
75,-1.0
76,-2.0
77,0.0
78,-1.0
79,4.0
80,6.0
81,4.0
82,6.0
83,5.0
84,11.0
85,10.0
86,12.0
87,9.0
88,4.0
89,3.0
90,6.0
91,5.0
92,11.0
93,18.0
94,20.0
95,21.0
96,24.0
97,25.0
98,20.0
99,17.0
100,21.0
101,20.0
102,22.0
103,21.0
104,27.0
105,26.0
106,25.0
107,31.0
108,30.0
109,24.0
110,26.0
111,29.0
112,36.0
113,33.0
114,35.0
115,34.0
116,43.0
117,44.0
118,43.0
119,46.0
120,36.0
121,37.0
122,36.0
123,33.0
124,36.0
125,40.0
126,41.0
127,39.0
128,50.0
129,53.0
130,54.0
131,56.0
132,55.0
133,62.0
134,63.0
135,71.0
136,74.0
137,81.0
138,82.0
139,90.0
140,88.0
141,92.0
142,93.0
143,86.0
144,80.0
145,88.0
